date,city,latitude,longitude,users,sessions,newUsers
2019-01-10,Edinburgh,55.9533,-3.1883,81,90,49
2017-01-15,Glenrothes,56.2008,-3.1599,1,1,1
2018-03-26,Barrhead,55.7939,-4.3977,2,2,0
2019-06-22,Bellshill,55.8157,-4.0265,1,1,0
2017-04-27,Glenrothes,56.2008,-3.1599,1,1,1
2020-02-13,Stirling,56.1165,-3.9369,1,2,1
2018-12-19,Alloa,56.1165,-3.7919,1,1,1
2017-07-18,Falkirk,56.0019,-3.7839,2,2,1
2018-10-30,Campbeltown,55.4586,-5.6054,1,1,1
2017-01-21,Biggar,55.6147,-3.524,1,2,0
2018-03-23,Dumbarton,55.9419,-4.5646,1,1,1
2016-10-21,Musselburgh,55.9419,-3.0539,1,1,0
2020-01-27,East Kilbride,55.7644,-4.177,2,3,2
2019-11-12,Elgin,57.6495,-3.3185,1,1,1
2020-03-05,Aberdeen,57.1497,-2.0943,2,2,1
2018-01-30,(not set),0,0,18,18,13
2017-03-27,Glasgow,55.8642,-4.2518,29,32,22
2020-01-09,Aberdeen,57.1497,-2.0943,13,15,13
2020-01-09,Barrhead,55.7967,-4.3977,1,1,0
2020-01-07,Musselburgh,55.9392,-3.0539,4,5,1
2018-07-02,Clydebank,55.9001,-4.4048,1,1,0
2017-05-16,Falkirk,56.0019,-3.7839,2,2,2
2020-01-12,Stirling,56.1168,-3.9369,3,3,2
2019-09-08,Musselburgh,55.9392,-3.0539,1,1,0
2016-10-27,Montrose,56.6751,-2.4661,1,1,1
2019-08-15,Cumbernauld,55.9453,-3.9925,3,3,1
2019-10-08,North Berwick,56.0584,-2.7219,2,3,2
2019-08-04,Falkirk,56.013,-3.7839,6,8,5
2018-07-14,Perth,56.395,-3.4308,1,1,1
2017-04-16,Rutherglen,55.8373,-4.2247,4,4,2
2019-08-28,East Kilbride,55.761,-4.177,1,1,1
2019-11-12,Musselburgh,55.9392,-3.0539,2,2,0
2018-07-28,Uddingston,55.8157,-4.0791,1,1,1
2019-01-26,(not set),0,0,8,9,5
2018-04-13,Kilmarnock,55.6116,-4.4988,1,1,1
2018-12-03,Renfrew,55.8753,-4.3915,2,2,2
2019-02-06,Greenock,55.9533,-4.772,1,1,1
2019-11-27,Rutherglen,55.8373,-4.2247,4,6,4
2016-10-03,Inverbervie,56.8198,-2.2798,1,1,0
2019-10-23,Portlethen,57.0617,-2.1295,1,1,1
2018-05-11,Kirkintilloch,55.9419,-4.1562,3,3,3
2018-03-24,Clydebank,55.9001,-4.4048,2,3,1
2017-03-28,Annan,54.9404,-3.2598,1,3,0
2016-10-07,(not set),0,0,4,4,2
2019-05-25,Johnstone,55.829,-4.5139,1,1,1
2019-02-19,Biggar,55.6147,-3.524,1,1,1
2016-09-27,Biggar,55.6234,-3.524,1,1,0
2019-08-06,East Kilbride,55.7644,-4.177,3,3,1
2017-08-18,Falkirk,56.0019,-3.7839,1,2,0
2019-01-01,Greenock,55.9565,-4.772,1,1,0
2017-02-23,Falkirk,56.0019,-3.7839,3,3,3
2016-11-07,Kirkintilloch,55.9419,-4.1562,3,11,1
2017-01-13,Biggar,55.6234,-3.524,1,4,0
2020-03-06,Portlethen,57.0617,-2.1295,1,2,0
2019-03-06,Hamilton,55.7776,-4.0537,2,2,1
2019-02-08,Motherwell,55.7832,-3.9811,1,1,1
2020-01-19,East Kilbride,55.7644,-4.177,2,4,2
2020-02-05,Paisley,55.8473,-4.4401,10,13,4
2016-09-07,Alloa,56.1141,-3.7919,1,1,1
2018-09-27,Greenock,55.9533,-4.772,1,1,1
2020-01-21,Duns,55.7776,-2.3435,1,1,1
2019-05-12,Uddingston,55.8168,-4.0791,1,1,0
2019-01-02,Inverness,57.4778,-4.2247,3,3,3
2020-01-22,Renfrew,55.8753,-4.3915,2,4,2
2020-02-23,Livingston,55.9007,-3.5181,4,6,3
